*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  OCT 24, 2025 14:14:59

*RUN   1        : 1                         CSCER048 TUDU1501    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : TUDU1501 WH
 DATA PATH      :
 TREATMENT  1   : 1                         CSCER048
  
!                                                                                                                                      NO3 (ppm) at soil dep. (cm):                                            NH4 (ppm) at soil dep. (cm):                                            Total Inorganic N @dep(ppm):
!                                                                                                                                       0-5    5-15   15-30   30-45   45-60   60-80  80-100 100-150 150-200     0-5    5-15   15-30   30-45   45-60   60-80  80-100 100-150 150-200     0-5    5-15   15-30   30-45   45-60   60-80  80-100 100-150 150-200
@YEAR DOY   DAS  NAPC  NI#M    NIAD    NITD    NHTD   NURTD    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDNC    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NT1D    NT2D    NT3D    NT4D    NT5D    NT6D    NT7D    NT8D    NT9D    
   15 086    10     0     0    31.4    28.1     3.3     0.0    0.27    6.11    0.00    0.21    0.00    0.06    0.01    0.00    0.00    2.69     1.9     1.6    1.25    1.25    1.00    1.00    0.64    0.65    0.36    0.26    0.22    0.14    0.14    0.10    0.11    0.07    0.07    3.05    2.17    1.77    1.39    1.40    1.10    1.11    0.71    0.72
   15 087    11     0     0    31.4    28.4     3.0     0.0    0.29    6.42    0.00    0.22    0.00    0.07    0.02    0.00    0.00    2.74     1.9     1.6    1.26    1.27    1.01    1.01    0.65    0.65    0.33    0.24    0.20    0.13    0.13    0.09    0.10    0.06    0.07    3.07    2.15    1.77    1.39    1.40    1.10    1.11    0.71    0.72
   15 088    12     0     0    31.4    28.7     2.7     0.0    0.31    6.71    0.00    0.23    0.00    0.09    0.03    0.00    0.00    2.79     1.9     1.6    1.27    1.28    1.02    1.02    0.66    0.66    0.30    0.21    0.18    0.12    0.12    0.08    0.09    0.06    0.06    3.08    2.13    1.77    1.39    1.40    1.10    1.11    0.71    0.72
   15 089    13     0     0    31.4    28.9     2.4     0.0    0.35    6.99    0.00    0.24    0.00    0.10    0.04    0.00    0.00    2.26     2.2     1.6    1.28    1.29    1.03    1.03    0.66    0.67    0.27    0.18    0.16    0.10    0.11    0.08    0.08    0.05    0.06    2.52    2.34    1.80    1.39    1.40    1.10    1.11    0.71    0.72
   15 090    14     0     0    31.4    29.2     2.2     0.0    0.38    7.22    0.00    0.26    0.00    0.12    0.06    0.00    0.00    1.95     2.2     1.7    1.31    1.31    1.03    1.04    0.67    0.67    0.24    0.16    0.15    0.09    0.10    0.07    0.07    0.05    0.05    2.19    2.37    1.85    1.41    1.41    1.10    1.11    0.72    0.73
   15 091    15     0     0    31.4    29.3     2.0     0.0    0.41    7.44    0.00    0.27    0.00    0.14    0.10    0.00    0.00    1.97     2.1     1.7    1.34    1.32    1.04    1.04    0.67    0.68    0.22    0.14    0.14    0.09    0.09    0.06    0.07    0.04    0.05    2.19    2.29    1.87    1.43    1.41    1.11    1.10    0.72    0.73
   15 092    16     0     0    31.3    29.5     1.9     0.0    0.43    7.62    0.00    0.28    0.00    0.15    0.16    0.00    0.00    1.78     2.1     1.8    1.38    1.33    1.06    1.04    0.68    0.68    0.20    0.12    0.13    0.08    0.08    0.06    0.06    0.04    0.04    1.98    2.21    1.91    1.46    1.41    1.12    1.10    0.72    0.73
   15 093    17     0     0    31.2    29.5     1.7     0.0    0.45    7.78    0.00    0.29    0.00    0.17    0.22    0.09    0.00    1.75     1.9     1.8    1.40    1.33    1.08    1.05    0.69    0.69    0.19    0.11    0.12    0.07    0.08    0.05    0.06    0.04    0.04    1.94    2.05    1.87    1.47    1.41    1.13    1.11    0.73    0.73
   15 094    18     0     0    31.1    29.5     1.6     0.0    0.46    7.91    0.00    0.29    0.00    0.17    0.28    0.09    0.00    1.70     1.9     1.8    1.42    1.33    1.08    1.05    0.69    0.69    0.18    0.10    0.11    0.07    0.07    0.05    0.05    0.03    0.04    1.88    2.01    1.88    1.49    1.41    1.13    1.10    0.73    0.73
   15 095    19     0     0    31.0    29.5     1.5     0.0    0.46    8.03    0.00    0.29    0.00    0.17    0.35    0.16    0.00    1.65     1.8     1.7    1.43    1.34    1.09    1.06    0.70    0.70    0.17    0.10    0.10    0.06    0.07    0.05    0.05    0.03    0.03    1.82    1.89    1.85    1.49    1.41    1.14    1.10    0.73    0.73
   15 096    20     0     0    30.9    29.6     1.4     0.0    0.46    8.14    0.00    0.29    0.00    0.17    0.43    0.16    0.00    1.77     1.8     1.7    1.44    1.33    1.09    1.06    0.70    0.70    0.16    0.09    0.10    0.06    0.06    0.04    0.04    0.03    0.03    1.93    1.85    1.84    1.50    1.40    1.14    1.10    0.73    0.73
   15 097    21     0     0    30.9    29.6     1.3     0.0    0.46    8.24    0.00    0.29    0.00    0.17    0.48    0.16    0.00    1.96     1.7     1.7    1.43    1.33    1.09    1.05    0.71    0.70    0.15    0.08    0.09    0.06    0.06    0.04    0.04    0.03    0.03    2.11    1.81    1.82    1.49    1.39    1.13    1.09    0.73    0.73
   15 098    22    40     1    54.2    29.6    24.6    16.0    0.46    8.34    0.00    0.29    0.61    0.17    0.58    0.16    0.00    2.20     1.7     1.7    1.42    1.33    1.09    1.05    0.71    0.70   36.41    0.08    0.08    0.05    0.05    0.04    0.04    0.02    0.03   38.61    1.75    1.79    1.48    1.38    1.13    1.09    0.73    0.73
   15 099    23    40     1    60.2    31.1    29.0     9.1    0.46    9.90    0.00    0.29    1.08    0.17    0.96    0.16    0.00    4.51     1.6     1.7    1.43    1.33    1.09    1.05    0.71    0.70   43.50    0.07    0.08    0.05    0.05    0.03    0.03    0.02    0.02   48.01    1.72    1.79    1.48    1.38    1.13    1.09    0.73    0.73
   15 100    24    40     1    63.4    33.1    30.3     5.0    0.46   11.96    0.00    0.29    1.53    0.18    1.39    0.16    0.00    7.54     1.6     1.7    1.43    1.33    1.10    1.06    0.71    0.71   45.60    0.07    0.07    0.05    0.05    0.03    0.03    0.02    0.02   53.14    1.67    1.79    1.48    1.38    1.13    1.09    0.73    0.73
   15 101    25    40     1    65.3    35.5    29.8     2.5    0.49   14.47    0.00    0.29    1.76    0.19    1.78    0.16    0.00   11.20     1.6     1.7    1.43    1.34    1.10    1.06    0.71    0.71   44.93    0.06    0.07    0.04    0.04    0.03    0.03    0.02    0.02   56.12    1.63    1.79    1.48    1.38    1.13    1.09    0.73    0.73
   15 102    26    40     1    66.2    38.3    27.9     1.1    0.53   17.37    0.00    0.31    1.95    0.23    2.09    0.16    0.00   15.46     1.5     1.7    1.44    1.34    1.10    1.06    0.71    0.71   42.11    0.04    0.06    0.04    0.04    0.03    0.03    0.02    0.02   57.57    1.58    1.78    1.48    1.38    1.13    1.09    0.73    0.73
   15 103    27    40     1    66.6    41.3    25.3     0.4    0.61   20.48    0.00    0.32    2.09    0.28    2.29    0.16    0.00   20.09     1.5     1.7    1.44    1.35    1.11    1.07    0.72    0.71   38.05    0.03    0.05    0.03    0.04    0.02    0.03    0.02    0.02   58.14    1.53    1.78    1.48    1.38    1.13    1.09    0.73    0.74
   15 104    28    40     1    66.7    44.1    22.6     0.1    0.70   23.30    0.00    0.34    2.21    0.35    2.42    0.16    0.00   24.31     1.5     1.7    1.45    1.35    1.11    1.07    0.72    0.72   33.95    0.01    0.05    0.03    0.03    0.02    0.03    0.02    0.02   58.25    1.48    1.78    1.48    1.39    1.13    1.10    0.74    0.74
   15 105    29    40     1    66.6    46.4    20.2     0.1    0.80   25.70    0.00    0.35    2.33    0.44    2.50    0.16    0.00   27.92     1.4     1.7    1.45    1.35    1.11    1.07    0.72    0.72   30.25    0.00    0.04    0.03    0.03    0.02    0.03    0.02    0.02   58.16    1.43    1.77    1.48    1.39    1.14    1.10    0.74    0.74
   15 106    30    40     1    66.6    48.5    18.1     0.0    0.91   27.80    0.00    0.36    2.43    0.55    2.55    0.16    0.00   31.07     1.4     1.7    1.45    1.36    1.12    1.08    0.72    0.72   26.98    0.00    0.04    0.03    0.03    0.02    0.03    0.02    0.03   58.05    1.39    1.77    1.48    1.39    1.14    1.10    0.75    0.75
   15 107    31    40     1    66.6    50.4    16.3     0.0    1.04   29.71    0.00    0.37    2.51    0.67    2.59    0.16    0.00   11.17    11.2     2.4    1.59    1.39    1.13    1.08    0.73    0.73   24.05    0.00    0.04    0.03    0.03    0.02    0.03    0.02    0.03   35.22   11.19    2.48    1.61    1.42    1.15    1.11    0.75    0.75
   15 108    32    40     1    66.4    51.4    15.0     0.0    1.18   31.07    0.00    0.41    2.53    0.77    2.79    0.25    0.00   13.67     9.5     2.9    1.70    1.41    1.15    1.09    0.75    0.74   22.05    0.00    0.04    0.03    0.03    0.03    0.03    0.03    0.03   35.72    9.54    2.98    1.73    1.45    1.17    1.12    0.77    0.76
   15 109    33    40     1    66.3    53.0    13.3     0.0    1.30   32.81    0.00    0.44    2.55    0.86    2.99    0.27    0.00   16.86     8.8     3.1    1.74    1.42    1.16    1.10    0.75    0.74   19.32    0.00    0.04    0.03    0.03    0.03    0.03    0.03    0.03   36.18    8.82    3.11    1.77    1.46    1.18    1.13    0.78    0.77
   15 110    34    40     1    66.0    54.3    11.7     0.0    1.40   34.34    0.00    0.46    2.57    0.94    3.30    0.27    0.00   20.40     8.2     3.0    1.73    1.42    1.15    1.09    0.75    0.74   16.84    0.00    0.04    0.03    0.03    0.03    0.03    0.03    0.03   37.24    8.25    3.03    1.76    1.45    1.18    1.12    0.78    0.77
   15 111    35    40     1    65.6    55.3    10.3     0.0    1.49   35.55    0.00    0.47    2.59    1.02    3.71    0.27    0.00   23.61     7.6     2.9    1.71    1.41    1.15    1.09    0.75    0.74   14.81    0.00    0.04    0.03    0.03    0.03    0.03    0.03    0.03   38.42    7.60    2.94    1.73    1.44    1.18    1.12    0.78    0.77
   15 112    36    40     1    65.2    55.9     9.2     0.0    1.56   36.54    0.00    0.48    2.59    1.08    4.25    0.27    0.00   24.75     7.5     2.9    1.71    1.41    1.15    1.09    0.76    0.75   13.09    0.00    0.04    0.03    0.03    0.03    0.03    0.03    0.03   37.83    7.48    2.94    1.74    1.44    1.18    1.12    0.78    0.78
   15 113    37    40     1    64.6    56.4     8.2     0.0    1.63   37.43    0.00    0.48    2.60    1.14    4.83    0.27    0.00   25.75     7.3     2.9    1.71    1.41    1.16    1.10    0.76    0.75   11.56    0.00    0.04    0.03    0.03    0.02    0.03    0.03    0.03   37.31    7.31    2.92    1.74    1.45    1.18    1.12    0.78    0.78
   15 114    38    40     1    64.4    57.0     7.4     0.0    1.70   38.24    0.00    0.48    2.60    1.21    5.15    0.27    0.00   26.84     7.2     2.9    1.71    1.42    1.16    1.10    0.76    0.75   10.32    0.00    0.04    0.03    0.03    0.02    0.03    0.02    0.03   37.17    7.15    2.91    1.74    1.45    1.18    1.13    0.79    0.78
   15 115    39    40     1    64.0    57.3     6.7     0.0    1.78   38.94    0.00    0.49    2.61    1.30    5.61    0.27    0.00   27.77     6.9     2.9    1.71    1.42    1.16    1.10    0.77    0.76    9.28    0.00    0.04    0.03    0.03    0.02    0.03    0.02    0.03   37.05    6.89    2.89    1.74    1.45    1.18    1.13    0.79    0.78
   15 116    40    40     1    63.6    57.5     6.1     0.0    1.88   39.67    0.00    0.49    2.61    1.40    6.11    0.27    0.00   28.81     6.6     2.8    1.71    1.42    1.16    1.10    0.77    0.76    8.24    0.00    0.04    0.03    0.03    0.02    0.03    0.02    0.03   37.05    6.57    2.86    1.74    1.46    1.19    1.13    0.79    0.79
   15 117    41    40     1    62.9    57.6     5.4     0.0    2.00   40.37    0.00    0.49    2.62    1.52    6.86    0.27    0.00   26.56     7.7     2.8    1.71    1.43    1.17    1.11    0.77    0.76    7.11    0.00    0.04    0.03    0.03    0.03    0.03    0.03    0.03   33.67    7.74    2.82    1.74    1.46    1.19    1.14    0.80    0.79
   15 118    42    40     1    62.2    57.6     4.7     0.0    2.14   41.01    0.00    0.49    2.62    1.65    7.69    0.27    0.00   21.86    10.0     2.8    1.71    1.43    1.17    1.11    0.77    0.77    5.99    0.00    0.04    0.03    0.04    0.03    0.03    0.03    0.03   27.85   10.02    2.79    1.74    1.47    1.20    1.14    0.80    0.80
   15 119    43    40     1    61.9    57.7     4.2     0.0    2.29   41.46    0.00    0.49    2.63    1.80    8.17    0.27    0.00   21.60    10.1     2.8    1.70    1.43    1.17    1.11    0.78    0.77    5.25    0.01    0.04    0.03    0.04    0.03    0.03    0.03    0.03   26.85   10.08    2.89    1.73    1.46    1.20    1.14    0.80    0.80
   15 120    44    40     1    61.6    57.9     3.7     0.0    2.43   41.98    0.00    0.49    2.64    1.94    8.59    0.27    0.00   22.60     9.9     2.8    1.69    1.42    1.17    1.11    0.78    0.77    4.44    0.01    0.05    0.04    0.04    0.03    0.03    0.03    0.03   27.04    9.87    2.83    1.72    1.46    1.20    1.14    0.81    0.80
   15 121    45    40     1    61.1    57.8     3.3     0.0    2.58   42.43    0.00    0.49    2.66    2.09    9.24    0.27    0.00    9.40     9.9     6.0    2.51    1.54    1.18    1.11    0.78    0.77    3.69    0.01    0.05    0.04    0.04    0.03    0.03    0.03    0.03   13.09    9.90    6.00    2.54    1.58    1.22    1.14    0.81    0.80
   15 122    46    40     1    60.8    57.7     3.1     0.0    2.70   42.67    0.00    0.49    2.66    2.21    9.69    0.27    0.00    8.65     8.9     6.0    2.93    1.71    1.23    1.13    0.78    0.78    3.31    0.02    0.05    0.04    0.04    0.03    0.03    0.03    0.03   11.96    8.95    6.09    2.97    1.75    1.26    1.16    0.81    0.81
   15 123    47    40     1    60.2    57.5     2.8     0.0    2.81   42.93    0.00    0.49    2.67    2.32   10.32    0.27    0.00    6.13     8.3     6.3    3.36    1.91    1.29    1.15    0.79    0.78    2.82    0.02    0.05    0.04    0.04    0.03    0.03    0.03    0.03    8.95    8.29    6.39    3.40    1.95    1.32    1.19    0.82    0.81
   15 124    48    40     1    59.1    56.6     2.5     0.0    2.94   43.14    0.00    0.49    2.68    2.45   11.09    0.70    0.00    6.12     7.1     5.9    3.53    2.11    1.38    1.18    0.83    0.80    2.38    0.03    0.05    0.04    0.04    0.03    0.03    0.03    0.03    8.50    7.17    5.98    3.57    2.15    1.41    1.22    0.86    0.83
   15 125    49    40     1    58.4    56.2     2.2     0.0    3.13   43.43    0.00    0.49    2.69    2.64   12.06    0.70    0.00    5.96     6.6     5.8    3.60    2.18    1.41    1.20    0.84    0.80    1.81    0.03    0.06    0.05    0.05    0.04    0.04    0.03    0.03    7.77    6.68    5.87    3.64    2.23    1.44    1.23    0.87    0.83
   15 126    50    40     1    57.3    55.4     1.9     0.0    3.37   43.71    0.03    0.49    2.71    2.88   13.26    0.70    0.00    3.48     5.0     6.2    4.20    2.44    1.48    1.22    0.85    0.80    1.28    0.04    0.06    0.05    0.05    0.04    0.04    0.03    0.03    4.77    5.07    6.27    4.25    2.49    1.51    1.26    0.88    0.83
   15 127    51    40     1    56.1    54.2     1.9     0.0    3.64   43.92    0.14    0.49    2.71    3.15   14.03    1.32    0.00    3.29     4.3     5.5    4.14    2.67    1.63    1.28    0.88    0.82    1.00    0.05    0.07    0.06    0.06    0.04    0.04    0.03    0.03    4.30    4.37    5.54    4.20    2.72    1.67    1.33    0.92    0.85
   15 128    52    40     1    55.4    53.6     1.8     0.0    3.93   44.19    0.18    0.49    2.72    3.44   14.74    1.55    0.00    3.57     4.0     5.1    4.05    2.72    1.69    1.32    0.90    0.82    0.73    0.07    0.07    0.06    0.06    0.05    0.05    0.04    0.04    4.31    4.06    5.17    4.11    2.78    1.73    1.36    0.93    0.86
   15 129    53    40     1    54.8    53.1     1.7     0.0    4.24   44.45    0.19    0.49    2.74    3.75   15.59    1.55    0.00    3.49     3.9     4.9    4.00    2.72    1.70    1.32    0.90    0.83    0.51    0.08    0.08    0.06    0.07    0.05    0.05    0.04    0.04    4.01    3.99    5.00    4.07    2.79    1.75    1.37    0.94    0.87
   15 130    54    40     1    54.4    52.7     1.7     0.0    4.54   44.71    0.20    0.49    2.75    4.05   16.25    1.56    0.00    3.61     3.7     4.8    3.96    2.72    1.71    1.33    0.90    0.84    0.41    0.09    0.08    0.07    0.07    0.05    0.05    0.04    0.04    4.02    3.83    4.86    4.02    2.79    1.76    1.38    0.95    0.87
   15 131    55    40     1    54.0    52.2     1.7     0.0    4.81   44.96    0.20    0.49    2.76    4.32   16.94    1.56    0.00    3.85     3.6     4.6    3.88    2.69    1.70    1.33    0.91    0.84    0.36    0.10    0.08    0.07    0.07    0.05    0.05    0.04    0.04    4.20    3.73    4.72    3.95    2.76    1.75    1.38    0.95    0.88
   15 132    56    40     1    53.5    51.7     1.8     0.0    5.10   45.23    0.20    0.49    2.77    4.61   17.73    1.56    0.00    4.19     3.5     4.5    3.79    2.65    1.70    1.33    0.91    0.84    0.31    0.11    0.08    0.07    0.07    0.05    0.05    0.04    0.04    4.50    3.63    4.56    3.86    2.72    1.75    1.38    0.95    0.88
   15 133    57    40     1    52.8    51.0     1.8     0.0    5.43   45.53    0.20    0.49    2.78    4.94   18.76    1.56    0.00    3.35     3.6     4.3    3.74    2.65    1.70    1.34    0.92    0.85    0.28    0.13    0.09    0.07    0.07    0.05    0.06    0.04    0.04    3.63    3.68    4.42    3.81    2.72    1.76    1.39    0.96    0.89
   15 134    58    40     1    51.8    50.0     1.8     0.0    5.78   45.84    0.20    0.49    2.78    5.29   20.09    1.56    0.00    3.11     3.3     4.1    3.64    2.62    1.71    1.34    0.93    0.86    0.26    0.14    0.09    0.07    0.07    0.06    0.06    0.04    0.04    3.37    3.45    4.19    3.71    2.70    1.77    1.40    0.97    0.90
   15 135    59    40     1    50.6    48.7     1.9     0.0    6.15   46.15    0.20    0.49    2.79    5.66   21.66    1.56    0.00    2.63     3.1     3.9    3.53    2.58    1.71    1.35    0.93    0.86    0.25    0.15    0.09    0.08    0.08    0.06    0.06    0.05    0.04    2.87    3.24    3.98    3.60    2.66    1.77    1.41    0.98    0.91
   15 136    60    40     1    50.0    48.1     1.9     0.0    6.50   46.47    0.20    0.49    2.79    6.01   22.62    1.56    0.00    2.22     2.9     3.8    3.48    2.57    1.72    1.36    0.94    0.87    0.24    0.16    0.09    0.08    0.08    0.06    0.06    0.05    0.04    2.46    3.09    3.87    3.56    2.65    1.78    1.42    0.99    0.91
   15 137    61    40     1    49.0    47.1     1.9     0.0    6.85   46.79    0.20    0.49    2.80    6.36   23.94    1.56    0.00    1.81     2.7     3.6    3.39    2.54    1.73    1.37    0.95    0.88    0.23    0.17    0.10    0.08    0.08    0.06    0.06    0.05    0.04    2.03    2.87    3.70    3.47    2.62    1.79    1.43    0.99    0.92
   15 138    62    40     1    47.9    46.0     1.9     0.0    7.18   47.10    0.20    0.49    2.80    6.69   25.32    1.56    0.00    1.63     2.5     3.4    3.27    2.49    1.74    1.38    0.95    0.88    0.22    0.17    0.10    0.08    0.08    0.06    0.06    0.05    0.04    1.84    2.64    3.48    3.35    2.57    1.80    1.44    1.00    0.93
   15 139    63    40     1    46.6    44.7     1.9     0.0    7.48   47.40    0.20    0.49    2.81    6.99   26.97    1.56    0.00    0.73     2.3     3.2    3.11    2.42    1.74    1.39    0.96    0.89    0.21    0.18    0.10    0.08    0.08    0.06    0.06    0.05    0.04    0.94    2.52    3.35    3.19    2.50    1.80    1.45    1.01    0.93
   15 140    64    40     1    45.5    43.6     2.0     0.0    7.80   47.68    0.20    0.49    2.81    7.31   28.35    1.56    0.00    0.36     1.6     3.1    3.23    2.43    1.74    1.39    0.97    0.90    0.21    0.19    0.10    0.08    0.08    0.06    0.06    0.05    0.04    0.58    1.78    3.21    3.32    2.51    1.80    1.45    1.02    0.94
   15 141    65    40     1    45.3    43.3     2.0     0.0    8.09   47.94    0.20    0.49    2.82    7.60   28.81    1.56    0.00    0.41     1.4     2.9    3.26    2.53    1.79    1.40    0.98    0.90    0.22    0.20    0.10    0.08    0.08    0.06    0.06    0.05    0.04    0.63    1.57    2.98    3.35    2.61    1.85    1.46    1.02    0.95
   15 142    66    40     1    44.3    42.3     2.0     0.0    8.37   48.18    0.20    0.49    2.82    7.88   29.94    1.75    0.00    0.48     1.1     2.5    2.98    2.50    1.84    1.46    1.01    0.92    0.23    0.21    0.11    0.09    0.08    0.06    0.06    0.05    0.04    0.71    1.36    2.56    3.07    2.58    1.91    1.52    1.05    0.96
   15 143    67    40     1    43.2    41.2     2.0     0.0    8.62   48.43    0.20    0.49    2.83    8.13   31.23    1.75    0.00    0.56     1.0     2.2    2.82    2.44    1.85    1.46    1.01    0.92    0.22    0.21    0.11    0.09    0.08    0.06    0.06    0.05    0.04    0.78    1.22    2.29    2.90    2.52    1.92    1.52    1.06    0.97
   15 144    68    40     1    41.3    39.3     2.0     0.0    8.84   48.67    0.20    0.49    2.84    8.35   33.42    1.75    0.00    0.27     0.8     1.8    2.56    2.31    1.83    1.48    1.02    0.93    0.21    0.22    0.11    0.09    0.08    0.06    0.06    0.04    0.04    0.48    1.00    1.93    2.65    2.39    1.90    1.53    1.06    0.97
   15 145    69    40     1    39.4    37.5     2.0     0.0    9.05   48.90    0.20    0.49    2.84    8.56   35.45    1.75    0.00    0.33     0.6     1.5    2.29    2.15    1.80    1.48    1.02    0.93    0.20    0.21    0.11    0.09    0.08    0.06    0.06    0.04    0.04    0.53    0.80    1.60    2.38    2.23    1.87    1.53    1.06    0.97
   15 146    70    40     1    37.9    35.9     2.0     0.0    9.31   49.17    0.20    0.49    2.85    8.82   37.29    1.75    0.00    0.39     0.5     1.2    2.04    1.99    1.77    1.48    1.02    0.94    0.20    0.22    0.10    0.09    0.08    0.06    0.06    0.04    0.04    0.59    0.67    1.31    2.13    2.07    1.83    1.54    1.07    0.98
   15 147    71    40     1    36.7    34.7     1.9     0.0    9.59   49.44    0.20    0.49    2.85    9.10   38.74    1.75    0.00    0.45     0.5     1.0    1.82    1.83    1.74    1.48    1.03    0.94    0.20    0.22    0.10    0.08    0.08    0.06    0.06    0.04    0.04    0.65    0.71    1.08    1.90    1.91    1.80    1.54    1.07    0.98
   15 148    72    40     1    35.6    33.7     1.9     0.0    9.86   49.71    0.20    0.49    2.86    9.37   40.03    1.75    0.00    0.49     0.5     0.8    1.62    1.69    1.70    1.49    1.04    0.95    0.20    0.22    0.10    0.08    0.08    0.06    0.06    0.04    0.04    0.68    0.74    0.89    1.70    1.77    1.76    1.55    1.08    0.99
   15 149    73    40     1    34.5    32.6     1.9     0.0   10.12   49.98    0.20    0.49    2.86    9.63   41.39    1.75    0.00    0.52     0.4     0.6    1.44    1.55    1.66    1.50    1.04    0.95    0.19    0.22    0.10    0.08    0.08    0.06    0.06    0.04    0.04    0.71    0.62    0.75    1.52    1.63    1.72    1.56    1.09    0.99
   15 150    74    40     1    33.7    31.8     1.9     0.0   10.41   50.26    0.20    0.49    2.87    9.92   42.51    1.75    0.00    0.49     0.4     0.5    1.28    1.42    1.61    1.51    1.05    0.96    0.18    0.22    0.10    0.08    0.08    0.06    0.06    0.04    0.04    0.67    0.65    0.64    1.37    1.50    1.67    1.57    1.09    1.00
