*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.8.5.000 -release  SEP 11, 2025 14:40:05

*RUN   1        : DRYLAND  - 0 KG N/HA      CSCER048 KSAS8101    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : KSAS8101 WH N RESPONSE,KANSAS STATE  3FE(N)*2IR  (DSSAT3)
 DATA PATH      :
 TREATMENT  1   : DRYLAND  - 0 KG N/HA      CSCER048
  
!              |------------------------------ Cumulative -----------------------------|------------------------------ Daily ----------------------------------|
!               N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                           Nitrification (g[N]/ha) by soil depth (cm):                             N2O flux (g[N]/ha) by soil depth (cm):                                  N2 flux (g[N]/ha) by soil depth (cm):                                   NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180
@YEAR DOY   DAS   N2OEC    N2EC    NOEC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC  N2OGED   N2GED   NOGED    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   
 1981 316    38    0.07    0.02    0.56    0.43    69.3   0.086   0.069   0.347   1.166     2.6     7.6    17.9    24.6     291    4.71    0.29   19.86   36.56     0.0     0.0     1.7     2.4     3.3     3.0     2.9     6.3     5.0     38.    175.      8.      6.      6.     11.     14.     13.     19.     0.0     0.2     0.3     0.4     0.6     0.5     0.5     1.4     1.1     0.0     0.0     1.5     2.1     2.7     2.5     2.3     5.0     3.9     0.3     1.1     1.5     2.7     4.4     3.7     4.1    10.2     8.6
 1981 317    39    0.07    0.03    0.58    0.46    69.6   0.090   0.070   0.367   1.202     3.1     9.8    21.0    23.9     278    4.62    0.28   19.24   36.02     0.0     0.0     0.8     2.4     3.3     3.0     2.9     6.4     5.0     36.    162.      8.      7.      6.     12.     15.     13.     18.     0.0     0.2     0.1     0.4     0.6     0.5     0.6     1.4     1.2     0.0     0.0     0.7     2.1     2.7     2.5     2.4     5.0     3.9     0.2     1.1     0.7     2.7     4.4     3.8     4.1    10.3     8.6
 1981 318    40    0.07    0.04    0.61    0.48    69.9   0.095   0.070   0.385   1.237     3.6    12.1    24.2    23.0     271    4.49    0.27   18.47   35.17     0.0     0.0     0.0     2.4     3.3     3.0     2.9     6.4     5.0     33.    147.     18.      7.      7.     13.     16.     12.     17.     0.0     0.1     0.0     0.4     0.6     0.5     0.6     1.4     1.2     0.0     0.0     0.0     2.0     2.7     2.5     2.3     5.0     3.9     0.2     1.0     0.1     2.6     4.4     3.8     4.1    10.3     8.6
 1981 319    41    0.08    0.06    0.63    0.50    70.2   0.100   0.070   0.405   1.274     4.0    13.9    26.9    24.3     297    4.74    0.30   19.52   37.25     0.0     0.0     0.0     2.5     3.6     3.2     3.1     6.7     5.3     35.    160.     20.      8.      8.     16.     18.     13.     18.     0.0     0.2     0.0     0.4     0.7     0.5     0.6     1.5     1.2     0.0     0.0     0.0     2.1     2.9     2.7     2.5     5.3     4.1     0.3     1.0     0.1     2.7     4.8     4.1     4.4    10.9     9.0
 1981 320    42    0.08    0.07    0.66    0.53    70.5   0.105   0.071   0.425   1.314     4.3    15.5    29.1    25.4     328    4.97    0.33   20.45   39.19     0.0     0.0     0.0     2.4     3.8     3.4     3.2     7.1     5.5     35.    176.     22.     10.     10.     19.     21.     15.     19.     0.0     0.2     0.0     0.4     0.7     0.6     0.6     1.5     1.3     0.0     0.0     0.0     2.0     3.1     2.9     2.6     5.5     4.2     0.3     1.2     0.1     2.7     5.1     4.3     4.7    11.4     9.4
 1981 321    43    0.09    0.09    0.69    0.56    70.9   0.110   0.071   0.446   1.355     4.6    16.7    31.1    26.6     375    5.22    0.37   21.40   41.33     0.0     0.0     0.0     2.2     4.1     3.7     3.4     7.4     5.7     37.    202.     26.     13.     13.     23.     25.     16.     20.     0.0     0.2     0.0     0.3     0.8     0.6     0.7     1.6     1.3     0.0     0.0     0.0     1.9     3.4     3.1     2.8     5.8     4.4     0.3     1.3     0.2     2.5     5.6     4.7     5.0    12.0     9.9
 1981 322    44    0.09    0.11    0.73    0.58    71.3   0.115   0.071   0.468   1.396     4.8    17.7    32.6    26.4     387    5.20    0.39   21.19   41.28     0.0     0.0     0.0     1.8     4.2     3.7     3.5     7.5     5.8     34.    208.     27.     15.     15.     26.     26.     17.     20.     0.0     0.2     0.0     0.3     0.8     0.6     0.7     1.6     1.3     0.0     0.0     0.0     1.5     3.4     3.1     2.8     5.9     4.5     0.2     1.4     0.2     2.0     5.7     4.7     5.0    12.1     9.9
 1981 323    45    0.10    0.13    0.76    0.61    71.7   0.120   0.072   0.489   1.438     5.0    18.5    33.9    26.4     412    5.22    0.41   21.17   41.68     0.0     0.0     0.0     1.2     4.3     3.8     3.5     7.6     5.9     32.    220.     28.     18.     17.     29.     29.     18.     21.     0.0     0.2     0.0     0.2     0.8     0.6     0.7     1.7     1.4     0.0     0.0     0.0     1.0     3.5     3.2     2.9     6.0     4.5     0.2     1.4     0.2     1.5     5.8     4.9     5.2    12.4    10.1
 1981 324    46    0.10    0.15    0.79    0.63    72.1   0.125   0.072   0.508   1.477     5.0    18.8    34.4    24.5     374    4.89    0.37   19.65   38.98     0.0     0.0     0.0     0.6     4.0     3.6     3.4     7.3     5.7     28.    195.     26.     18.     17.     27.     27.     17.     19.     0.0     0.2     0.0     0.1     0.8     0.6     0.7     1.6     1.3     0.0     0.0     0.0     0.5     3.3     3.0     2.7     5.7     4.4     0.2     1.3     0.2     0.7     5.5     4.6     4.9    11.8     9.7
 1981 325    47    0.11    0.16    0.83    0.66    72.4   0.130   0.072   0.526   1.512     5.1    19.2    35.2    22.1     318    4.44    0.32   17.66   35.28     0.0     0.0     0.0     0.0     3.6     3.3     3.1     6.8     5.3     20.    154.     21.     28.     15.     24.     24.     15.     17.     0.0     0.2     0.0     0.0     0.7     0.6     0.6     1.5     1.2     0.0     0.0     0.0     0.0     3.0     2.7     2.5     5.3     4.1     0.1     1.0     0.1     0.2     4.9     4.2     4.5    11.0     9.1
